review_text,review_rating
"Really a great experience, I enjoyed the environment. The staff are really respectful and welcoming you. I ordered flat white and was delicious ..  a honey cake 🍯, nutella cake was good while cheese croissant  🥐 not that much recommended",5
"Friendly staffs & great ambiance with added PRP display makes the place looks wonderful..!!
Definitely will be visiting again with more friends.",5
"My second review 😃
I came across Overdose Cafe’s Buy 1 Get 1 Free offer, and as soon as I heard about it I decided to head there myself and have some coffee! If you want to enjoy the offer yourself I’d suggest you to hurry up! The offer ends by tomorrow, The 16th of December.

I ordered an Iced Spanish Latte, Iced Salted Caramel with Two espresso shots, One Iced Red Velvet with a single espresso shot and One Iced Red Velvet with double espresso shots. That’s something they do that’s different from other cafes. Even if you don’t request them to do it, they’ll ask you whether you want a single espresso shot or double. Bonus points from those people who like to have more espresso in their coffee!

My drink was the Iced Red Velvet with double espresso shots and I was well satisfied with it. I’ve already spoken about my opinion on the Iced Spanish Latte and Iced Salted Caramel on my last post on Overdose Cafe.",4
"☕️ Overdosecoffee is one of the fastest growing coffee chains in the kingdom and for all the right reasons.

☕️ Their ambience is simple yet stylish with quotes all coffee lovers can relate to.
☕️ Love their efficient services with espresso glasses and cups ready with syrup to serve the customers as soon as the order is made.
☕️ The taste of their coffee does not disappoint and you are always left craving for more.
☕️ A dedicated space to watch your coffee being prepared is the cherry on top.
☕️ Overall, welcoming staff , cozy vibes and delicious coffee makes this place irresistible.

Follow@thesaudifusion on instagram.💗",5
"Many times no filter coffee , you should try americano instead, cheerful taste.",4
"The Spanish latte is awful! 99% milk!
There r no places for guys, talk uncomfortable chairs. They open 24 hours which is good.",2
"فعاليات يوم الطفل العالمي ولا اروع ❤️

I went with my friend to the best coffee shop in the ryadhi  last night. We set there and ordered tow cuppichino together with one Cheese Cake. The Coffee Shop was very nice and butiful. The Decoration contians dark lights,  table, comfortable chairs, and good service",5
Your idea is very beautiful. I wish them good luck thanks 🤍🤍🤍,5
"Good coffee but crowded, singles were sitting in the family zone",4
I ordered the iced Spanish latte. It was fine but it doesn’t have a special flavor . It tastes like the same as any other Spanish latte. The place is nice but the music was way too loud. I don’t think i’ll visit again.,4
"Beautiful place, lovely atmosphere, Nice decoration and I like how they’re using plants for the decor. I loved their red velvet.
5 stars no doubt",5
"Dawes has made a difference in the coffee world in its flavor, design, details and products, the renovation of coffee with various flavors and beautiful flavors and a total commitment to precautionary procedures and the education of the......... Ministry of Health.......................................
Very professional staff and high-level........................................... taste",5
Love it. Will definitely visit again. And the staff was super friendly too.,4
kindly u walk overdose is the most un respect cafe and the smok the people who talk in english and they are every every bad the to of the most unrespect hospitity,1
Nice coffee shop☕💚,5
"The vibe is good, loud music though. Coffee is so sweet, and I think it’s only a single espresso shot which is not the standard that I see in all coffee shops (Double shot is the standard). Little bit pricey for the size of the cup and the single shot. If you like loud music come here",2
"It was not good enough ,not clean
My order was wrong and the prices more than the avrage.",2
Coffee of the day is amazing and atmosphere is great. The music list they have is complete rubbish!,3
"Nice place, good that it’s 24 hours. I tried all Ice lattes they’re all good but need taste improvements.",4
Nice place to get your coffee,4
very bad place I strongly not recommend to visit it at all,1
It was pretty pricy but I the drinks were pretty good. I enjoyed being there tbh and i would go again.,4
Nice cafe I like flakey,5
"Overdose

I ordered the Spanish Latte at Overdose and it was great! Not too sweet and the coffee’s flavor was sharp. The Nutella filled brownie cookies were also delicious. They were extremely sweet so it was great with the Spanish latte.",4
❤,5
my only concern is about the name they can go with another name.everything is fine guys but the  name idea was not that good,5
I like spanish latte in this store,5
Thank you very much its an amazing service.. Special thanx to Denver Rjay Raymark,5
"Didn’t like their hot spanish latte, nor their seatings",3
Blueberry mojito 10/10.. music was too loud,4
Nice team,5
Good 👍,4
Delicious coffee ☕ 😋,5
"Over jar is best dessert restourant eve speially the sevice of staff

Albaser is good staff",5
"Very bad attitude from the workers in this branch
Hope they can teach them a little bit about how to deal with costumers
Never visiting again
Edit: I contacted the email mentioned below and nothing happened.",1
Good customer service and ambience.,4
Very nice coffee shop with specialty flavors located at popular place Uwalk for entertainment & dinning.,4
"Over is the best desserts restaurant
Also the staff are so good friendly specially albaser",5
Good Coffee for Coffee lovers,5
Flat white and latte is highly recommended.,4
It’s kind of overrated but it’s good tbh,4
Great place with friendly staff,5
"Bad and terrible experience with no customer service, the barista so rude charging 2 drinks in 100 SR even it’s a joke , the Filipino barista so rude . As I said to barista I will be back if they know how to apply customer service in a way we feel that we are welcome.",1
Music like disco!! Please make it lowwwww,1
Very slow service time!! It took them 20 minutes to prepare a latte!,2
Jennilyn she is kind and friendly we appreciate to her 🙏🏻❤️,5
I don’t get the hype honestly coffee is not that great staff are very rude to women the place is very hot inside like can’t you afford an AC also they store the milk in a very bizarre way disgusting!!! I was very uncomfortable in there I don’t think i will ever go there again,1
Like the drink really refreshing strawberry 🍓 mojitos 🍸🍹,5
The customer service employee is not welcoming the customers and we fell that we take the coffee for free and we are not buying for it!!... this is unacceptable behavior and i will not come to the same coffee again,1
We were sitting and suddenly someone came in an impolite way saying that its a family area shift to other side infront  of all people knowing that the waiter himself said feel free to sit anywhere ...It is ir-respectful  act from a supervisor..we left our order and went out!worst & rude  customer service..,1
"Good vibes.. The music is so loud.. The coffee taste OK..
I asked them for any plant based mill (Soy, Almond.. etc) but they didn’t serve.. I asked them for doing my coffee with decreasing syrup amount but they didn’t respond !!",2
"The environment was very good

The order I got was the salted caramel drink and when a took a sip, the caramel below was rock solid I did every thing I can to stir it but couldn’t",3
"The coffee is better than average, the service is okay, music is kind of loud, the price is on the higher end. I wouldn't go there for a second cup. However, the surrounding environment is great for a meet up with friends and spending time there.",3
I ordered iced Spanish latte. Was good. Atmosphere is awesome! Very very good taste of music 🌚👍🏼. Definitely I’ll comeback.,5
Really special coffee,5
Iced Spanish Latte is a must try,5
"Good vibe, the coffee was drinkable!",3
One of the best cafe in Riyadh!,5
Good vibes & unfortunate unprofessional communication with customers! - we were a group and this is our impression,1
"Not your usual cafè the flavors are really good and suave, not coyingly sweet...",5
Bad Siting design,2
"Pleasant ambiance, courteous staff and easy to access. Overpriced coffee not worth the hype.",4
"The one star is for the good atmosphere and music, the coffee on the other hand tasted like milk and sugar, and the pistachio sauce tasted like wasabi..",1
"Mainly focused on group of friends ( male/ female) student type, not for families",3
Love the vibes.& the fact that they give u options of milk and number of espresso shots,4
👎,1
Good place,4
"loud, overly crowded, and most importantly the coffee tastes bad.",1
Nice place but you have to wait long time for entrance the coffee,4
"Dimly lit and the music was too loud, couldn’t hear my name when my order was ready. Good coffee nonetheless",3
"Cool vibes.

The Spanish latte was nice",4
Quality over price is not worth it.,2
I like it,5
Nothing special overrated..,2
"Ordinary coffee
Way too loud music playing
Too crowded you can’t even sit to enjoy it",2
"Not that great, over priced for the quality. The location is excellent.",1
Decent coffee but slow service and not so clean,3
"Moderate coffee, extremely overrated",2
Nice place to spend time,5
"They  are one of the best , nice cafe good coffee",5
Fantastic,5
"Ultra over..
Keep dosing👌",5
Not good at all,1
So delicious 😍😍❤️❤️,5
good coffee but a little too sweet,4
Strong 👌😌,4
Beautiful place,5
♥️,3
Great,3
Delicious,3
"Cool and trendy , needs more table's",3
Americano coffee very weak no flavor looks like water,2
☕️,4
Very Good service,5
Denver 👍🏻👍🏻,5
"Coffee is good,  but the music was too loud.",3
